,dst,src,timestamp
0,130.235.19.166,172.16.2.3,1191915570.274195
1,84.223.19.47,172.16.2.3,1191915570.274435
2,213.167.119.98,172.16.2.3,1191915570.27449
3,84.120.49.2,172.16.2.3,1191915570.27452
4,172.16.2.3,84.120.49.2,1191915570.344519
5,84.120.49.2,172.16.2.3,1191915570.345233
6,84.120.49.2,172.16.2.3,1191915570.349491
7,172.16.2.3,84.120.49.2,1191915570.436581
8,84.120.49.2,172.16.2.3,1191915570.441477
9,172.16.2.3,84.120.49.2,1191915570.936057
10,84.120.49.2,172.16.2.3,1191915570.93664
11,172.16.2.3,84.120.49.2,1191915571.166702
12,84.120.49.2,172.16.2.3,1191915571.167532
13,193.88.8.59,172.16.2.3,1191915571.325018
14,62.129.32.229,172.16.2.3,1191915571.325577
15,195.250.208.83,172.16.2.3,1191915571.325605
16,84.120.49.2,172.16.2.3,1191915571.326159
17,65.34.193.206,172.16.2.3,1191915571.328976
18,129.2.102.58,172.16.2.3,1191915571.329009
19,131.183.81.1,172.16.2.3,1191915571.329039
20,210.49.220.58,172.16.2.3,1191915571.329095
21,67.189.138.160,172.16.2.3,1191915571.329133
22,89.25.49.56,172.16.2.3,1191915571.329171
23,91.64.131.21,172.16.2.3,1191915571.329208
24,193.49.4.236,172.16.2.3,1191915571.329247
25,211.122.126.48,172.16.2.3,1191915571.329285
26,86.31.236.33,172.16.2.3,1191915571.329322
27,84.212.17.9,172.16.2.3,1191915571.32936
28,142.163.200.146,172.16.2.3,1191915571.329404
29,129.2.102.58,172.16.2.3,1191915571.329406
30,172.16.2.3,193.88.8.59,1191915571.36153
31,193.88.8.59,172.16.2.3,1191915571.362298
32,193.88.8.59,172.16.2.3,1191915571.362327
33,172.16.2.3,193.49.4.236,1191915571.370094
34,172.16.2.3,91.64.131.21,1191915571.379063
35,172.16.2.3,84.212.17.9,1191915571.389191
36,172.16.2.3,89.25.49.56,1191915571.397217
37,172.16.2.3,193.88.8.59,1191915571.397275
38,172.16.2.3,86.31.236.33,1191915571.403128
39,172.16.2.3,84.120.49.2,1191915571.408016
40,172.16.2.3,84.120.49.2,1191915571.412815
41,84.120.49.2,172.16.2.3,1191915571.413523
